56	4	95	0	44	0	39	51	12	3	
37	0	97	-4	26	-2	60	71	12	0	
56	0	76	0	-12	7	20	89	68	3	
56	0	98	0	46	9	42	51	10	3	
57	0	84	8	56	0	27	27	0	0	
44	1	81	0	44	13	37	37	0	0	
66	0	109	0	64	-16	43	45	2	0	
37	0	94	-1	16	0	57	79	22	0	
37	0	77	0	28	11	40	48	8	0	
55	0	77	-2	24	-5	21	54	32	3	
56	2	96	0	54	4	40	42	2	0	
51	-2	83	0	50	-7	32	34	2	0	
43	-3	77	0	42	-9	34	36	2	0	
51	1	107	-1	50	0	56	58	2	0	
37	0	76	0	24	-16	39	53	14	0	
37	0	79	3	2	1	42	76	34	0	
49	0	88	0	50	22	39	39	0	0	
51	0	84	0	50	-13	34	35	2	0	
55	-4	79	0	54	0	24	24	0	0	
37	0	75	0	28	-12	38	46	8	0	
74	-11	79	-9	-40	5	4	120	116	4	
37	0	83	0	-2	-19	46	85	40	0	
51	1	84	0	52	14	33	32	0	0	
105	4	106	2	72	6	1	33	32	4	
37	0	106	0	26	4	69	80	12	0	
37	0	79	0	12	27	42	66	24	0	
48	1	90	0	46	0	41	43	2	0	
47	0	86	8	46	0	38	39	0	0	
55	0	78	0	2	-17	23	75	52	3	
56	0	97	0	54	-22	40	42	2	0	
41	-3	81	0	42	11	41	40	0	0	
37	0	96	-4	20	0	59	75	16	0	
40	0	79	6	38	0	39	41	2	0	
46	0	87	4	46	0	41	41	0	0	
37	0	82	0	38	7	45	43	0	0	
37	0	78	0	36	-14	41	42	2	0	
44	0	83	8	44	0	39	39	0	0	
46	-5	86	-1	46	-2	40	40	0	0	
47	-1	80	0	46	0	33	34	0	0	
43	0	80	0	44	19	37	36	0	0	
37	0	75	0	36	21	37	39	2	0	
56	0	94	2	50	0	38	45	6	3	
55	-2	86	-2	54	0	31	32	0	0	
41	0	76	-1	38	-12	35	37	2	0	
46	1	87	0	46	16	41	41	0	0	
49	0	82	0	50	20	33	33	0	0	
44	1	79	0	42	-25	35	37	2	0	
39	-3	100	0	38	0	62	62	0	0	
47	0	87	-1	46	-2	40	41	0	0	
56	2	81	0	-6	-16	25	88	64	3	
38	0	81	-1	38	0	43	42	0	0	
55	-5	85	0	54	0	31	31	0	0	
42	2	90	1	42	0	48	49	0	0	
52	5	88	0	52	0	37	37	0	0	
41	0	83	0	42	4	42	41	0	0	
46	0	83	-7	46	21	37	37	0	0	
37	0	81	3	20	0	44	60	16	0	
41	-3	82	1	42	0	41	41	0	0	
55	0	82	-1	-32	-6	26	115	90	3	
42	0	86	-7	42	0	44	45	0	0	
37	0	79	0	12	-7	42	66	24	0	
53	0	81	0	54	13	28	27	0	0	
56	5	95	0	42	-17	39	54	14	3	
42	0	78	0	42	-1	36	37	2	0	
81	0	85	0	-40	5	4	126	122	4	
41	0	81	0	42	6	40	40	0	0	
37	-5	75	-3	20	0	38	54	16	0	
41	0	84	0	38	0	44	46	2	0	
39	3	90	0	38	0	51	51	0	0	
56	1	97	-1	52	-22	41	46	4	3	
52	-5	88	0	52	0	36	36	0	0	
56	0	79	0	16	23	23	63	40	3	
45	-1	79	0	44	-17	33	35	2	0	
39	0	93	4	34	1	55	60	6	0	
