51,37,55
19,29,94
31,39,74
70,80,96
0,71,95
46,63,81
41,74,63
81,41,73
67,72,28
100,60,94
46,57,43
48,96,56
24,53,38
44,68,21
63,25,29
72,54,1
43,40,27
14,8,59
0,97,42
57,26,20
33,97,37
82,65,45
78,0,87
42,17,59
85,77,69
3,63,24
70,1,36
78,76,16
52,63,44
46,42,77
78,45,42
13,67,83
24,52,20
47,87,71
90,0,87
7,28,16
64,97,66
86,63,75
53,93,0
48,100,92
91,58,60
59,13,69
100,47,40
83,3,20
70,100,67
69,81,68
12,83,47
2,25,16
2,39,34
9,46,50
1,94,19
85,35,65
83,41,16
43,53,7
91,56,18
68,70,23
33,76,17
87,54,43
31,77,94
62,100,91
59,91,4
30,61,66
66,98,95
22,22,63
38,51,23
3,86,86
78,72,65
33,31,21
40,54,59
2,77,86
0,84,76
70,12,71
31,45,80
6,35,87
38,1,94
40,60,43
95,96,86
77,22,10
80,100,87
45,53,44
75,78,47
13,59,37
82,27,51
56,92,78
70,68,20
19,84,88
19,94,19
52,85,90
71,18,99
67,59,9
81,13,38
3,54,92
41,37,71
22,35,43
34,15,88
85,85,64
49,12,15
26,79,61
57,50,43
33,9,49
